N_features,max_var,accuracy_test,accuracy_train,mean_cv
2672.0,0.17777330749912598,0.9705056179775281,1.0,0.9730503735236425
2671.0,0.14052854706602935,0.9705056179775281,1.0,0.9730503735236425
2670.0,0.13780801554322558,0.9705056179775281,1.0,0.9730503735236425
2669.0,0.13198631160644467,0.9705056179775281,1.0,0.9730503735236425
2668.0,0.12166397115536022,0.9705056179775281,1.0,0.9730503735236425
2667.0,0.1166392445095637,0.9705056179775281,1.0,0.9730503735236425
2666.0,0.11574251995612453,0.9705056179775281,1.0,0.9726422102583365
2665.0,0.10907479910434296,0.9705056179775281,1.0,0.9726422102583365
2664.0,0.0942891856620149,0.9705056179775281,1.0,0.9726422102583365
2663.0,0.09254110654742366,0.9705056179775281,1.0,0.9726422102583365
2662.0,0.09169909286703654,0.9705056179775281,1.0,0.9726422102583365
2661.0,0.09104823363944736,0.9705056179775281,1.0,0.9726422102583365
2660.0,0.08777392132843337,0.9705056179775281,1.0,0.9730503735236425
2659.0,0.08711505563161702,0.9705056179775281,1.0,0.9730503735236425
2658.0,0.08678512237888214,0.9705056179775281,1.0,0.9730503735236425
2657.0,0.08513045207194078,0.9705056179775281,1.0,0.9730503735236425
2656.0,0.08346744169288788,0.9705056179775281,1.0,0.9730503735236425
2655.0,0.08112521584106624,0.9705056179775281,1.0,0.974274863319561
2654.0,0.08081496515851473,0.9705056179775281,1.0,0.974274863319561
2653.0,0.08011640071844718,0.9705056179775281,1.0,0.974274863319561
2652.0,0.07910458316986793,0.9705056179775281,1.0,0.974274863319561
2651.0,0.07468534575937358,0.9705056179775281,1.0,0.974274863319561
2650.0,0.07418786045791666,0.9705056179775281,1.0,0.974274863319561
2649.0,0.07365751527234006,0.9705056179775281,1.0,0.9730503735236425
2648.0,0.07120753568883659,0.9705056179775281,1.0,0.9730503735236425
2647.0,0.07020997966356815,0.9705056179775281,1.0,0.9722340469930304
2646.0,0.06992107956562235,0.9705056179775281,1.0,0.9722340469930304
2645.0,0.0692789774137503,0.9705056179775281,1.0,0.9722340469930304
2644.0,0.06891326525165667,0.9705056179775281,1.0,0.9722340469930304
2643.0,0.06871143550655598,0.9705056179775281,1.0,0.9722340469930304
2642.0,0.0686584760486473,0.9705056179775281,1.0,0.9734602061683569
2641.0,0.06817608627771238,0.9705056179775281,1.0,0.9734602061683569
2640.0,0.06709938296810489,0.9705056179775281,1.0,0.9734602061683569
2639.0,0.06707819918494141,0.9705056179775281,1.0,0.973868369433663
