N_features,max_mi,accuracy_test,accuracy_train,mean_cv
2672.0,0.3788954340949695,0.973314606741573,1.0,0.9738658653645509
2671.0,0.3479439345666746,0.976123595505618,1.0,0.9734593714786529
2670.0,0.33972243816176717,0.9789325842696629,1.0,0.974274863319561
2669.0,0.33182275241026393,0.9719101123595506,1.0,0.9714160510830098
2668.0,0.2874207745979709,0.9705056179775281,1.0,0.9730487041442343
2667.0,0.27115844942442346,0.9705056179775281,1.0,0.9734551980301323
2666.0,0.27033100228772877,0.9705056179775281,1.0,0.971822544968908
2665.0,0.26977229158767946,0.9705056179775281,1.0,0.9726380368098159
2664.0,0.26667877752502744,0.9719101123595506,1.0,0.9722307082342139
2663.0,0.2635530787805982,0.9676966292134831,1.0,0.9701898919076832
2662.0,0.2492491222652211,0.9691011235955056,1.0,0.9726397061892241
2661.0,0.24558599737633702,0.9705056179775281,1.0,0.97141605108301
2660.0,0.22819492268012476,0.9719101123595506,1.0,0.971822544968908
2659.0,0.22503310719214076,0.9705056179775281,1.0,0.9710053837485916
2658.0,0.2228111793081371,0.9775280898876404,1.0,0.9697808939526731
2657.0,0.21750861993975712,0.9789325842696629,1.0,0.9714160510830098
2656.0,0.2160878119707994,0.9691011235955056,1.0,0.9734593714786527
2655.0,0.21358593879613919,0.976123595505618,1.0,0.971824214348316
2654.0,0.211544524674256,0.976123595505618,1.0,0.971823379658612
2653.0,0.208017312625131,0.9719101123595506,1.0,0.9722340469930304
2652.0,0.2068000907503449,0.9691011235955056,1.0,0.9722332123033262
2651.0,0.20395180873416807,0.976123595505618,1.0,0.9706005592421019
2650.0,0.19552514726460557,0.9775280898876404,1.0,0.9726405408789282
2649.0,0.1949068064855184,0.9747191011235955,1.0,0.9726397061892241
2648.0,0.18741784445335163,0.9648876404494382,1.0,0.9710070531279996
2647.0,0.18334012157623825,0.9719101123595506,1.0,0.9693718959976628
2646.0,0.1819912699517614,0.9662921348314607,1.0,0.969371895997663
2645.0,0.18150726787194205,0.9662921348314607,1.0,0.9697792245732648
2644.0,0.18050932533624287,0.9719101123595506,1.0,0.9693735653770711
2643.0,0.17971197077080658,0.973314606741573,1.0,0.9726397061892241
2642.0,0.17961759335451544,0.973314606741573,1.0,0.9722307082342139
2641.0,0.1779751891141128,0.9747191011235955,1.0,0.971822544968908
2640.0,0.17431807053467252,0.976123595505618,1.0,0.9722340469930304
2639.0,0.17418680191887415,0.9747191011235955,1.0,0.9722315429239179
2638.0,0.1736764118065106,0.973314606741573,1.0,0.9730503735236425
2637.0,0.17127587461961613,0.973314606741573,1.0,0.9722332123033262
