N_features,min_var,accuracy_test,accuracy_train,mean_cv
2672.0,0.0,0.9705056179775281,1.0,0.9730503735236425
2671.0,0.0,0.9705056179775281,1.0,0.9730503735236425
2670.0,0.0,0.9705056179775281,1.0,0.9730503735236425
2669.0,0.0004083299305839118,0.9705056179775281,1.0,0.9730503735236425
2668.0,0.0004083299305839118,0.9705056179775281,1.0,0.9730503735236425
2667.0,0.0004083299305839118,0.9705056179775281,1.0,0.9730503735236425
2666.0,0.0004083299305839119,0.9705056179775281,1.0,0.9730503735236425
2665.0,0.00040832993058391193,0.9705056179775281,1.0,0.9730503735236425
2664.0,0.00040832993058391193,0.9705056179775281,1.0,0.9730503735236425
2663.0,0.00040832993058391193,0.9705056179775281,1.0,0.9730503735236425
2662.0,0.00040832993058391193,0.9705056179775281,1.0,0.9730503735236425
2661.0,0.00040832993058391193,0.9705056179775281,1.0,0.9730503735236425
2660.0,0.00040832993058391193,0.9705056179775281,1.0,0.9730503735236425
2659.0,0.0005098378749288684,0.9705056179775281,1.0,0.9730503735236425
2658.0,0.0008163262582833595,0.9705056179775281,1.0,0.9730503735236425
2657.0,0.0008163262582833598,0.9705056179775281,1.0,0.9730503735236425
2656.0,0.0008163262582833598,0.9705056179775281,1.0,0.9730503735236425
2655.0,0.0008470043795386671,0.9705056179775281,1.0,0.9730503735236425
2654.0,0.0009170743293914819,0.9705056179775281,1.0,0.9730503735236425
2653.0,0.000933067704713639,0.9705056179775281,1.0,0.9730503735236425
2652.0,0.0009366750037453444,0.9705056179775281,1.0,0.9730503735236425
2651.0,0.0010185730069896476,0.9705056179775281,1.0,0.9730503735236425
2650.0,0.001116318652137594,0.9705056179775281,1.0,0.9730503735236425
2649.0,0.0011197891433693391,0.9705056179775281,1.0,0.9730503735236425
2648.0,0.0011199882838666977,0.9705056179775281,1.0,0.9730503735236425
2647.0,0.0012239889830983437,0.9705056179775281,1.0,0.9730503735236425
2646.0,0.0012239889830983437,0.9705056179775281,1.0,0.9730503735236425
2645.0,0.0012239889830983437,0.9705056179775281,1.0,0.9730503735236425
2644.0,0.0012630413707609082,0.9705056179775281,1.0,0.9730503735236425
